C7057|Disease, Disorder or Finding
C65059|Nasal Cavity and Ethmoid Sinus Cancer pMX TNM Finding v6
C64583|Hypopharyngeal Cancer pN0 TNM Finding v6 and v7
C64584|Hypopharyngeal Cancer pN1 TNM Finding v6 and v7
C64585|Hypopharyngeal Cancer pN2a TNM Finding v6 and v7
C65049|Nasal Cavity and Ethmoid Sinus Cancer pT0 TNM Finding v6 and v7
C65051|Nasal Cavity and Ethmoid Sinus Cancer pT1 TNM Finding v6 and v7
C65052|Nasal Cavity and Ethmoid Sinus Cancer pT2 TNM Finding v6 and v7
C64615|Oropharyngeal Cancer pM0 TNM Finding
C64616|Oropharyngeal Cancer pM1 TNM Finding v6 and v7
C64614|Oropharyngeal Cancer pMX TNM Finding v6
C65063|Nasal Cavity and Ethmoid Sinus Cancer pN1 TNM Finding v6 and v7
C65062|Nasal Cavity and Ethmoid Sinus Cancer pN0 TNM Finding v6 and v7
C65064|Nasal Cavity and Ethmoid Sinus Cancer pN2a TNM Finding v6 and v7
C78181|Serum Bicarbonate Decreased
C64608|Oropharyngeal Cancer pN0 TNM Finding v6 and v7
C64610|Oropharyngeal Cancer pN2a TNM Finding v6 and v7
C64609|Oropharyngeal Cancer pN1 TNM Finding v6 and v7
C64438|Oropharyngeal Cancer pT0 TNM Finding v6 and v7
C64440|Oropharyngeal Cancer pT1 TNM Finding v6 and v7
C64441|Oropharyngeal Cancer pT2 TNM Finding v6 and v7
C89873|Small Intestine Cancer pT4 TNM Finding v7
C89872|Small Intestine Cancer pT3 TNM Finding v7
C3262|Neoplasm
C89869|Small Intestine Cancer pT1a TNM Finding v7
C89870|Small Intestine Cancer pT1b TNM Finding v7
C121964|Micronucleus
C89875|Small Intestine Cancer pNX TNM Finding v7
C41030|Monoclonal Paraproteinemia Present in Lower than Myeloma Levels
C78167|Alcohol Intolerance
C81239|Cause of Death
C41358|Adverse Event Attribution to Product or Procedure
C50493|Child Intoxication With Breast Implant Material Ingredients
C84257|Adverse Event by CTCAE v3 Severity Grade
C113380|Disabling Adverse Event
C84259|Adverse Event by CTCAE v4 Severity Grade
C53782|Adverse Event Associated with Allergy and Immunology
C53784|Adverse Event Associated with Cardiac Arrhythmia
C53783|Adverse Event Associated with Blood and Bone Marrow
C128741|Mixed Failure to Thrive
C128740|Non-Organic Failure to Thrive
C128739|Organic Failure to Thrive
C27296|Positive Lymph Node
C40998|Positive Immunophenotypic Test Result
C88937|Head and Neck Cancer TNM Finding v7
C122582|Positive Pseudomonas Culture
C120169|Neuroendocrine Cell Hyperplasia of Infancy
C47804|Serum Calcitonin Level Increased
C6993|Complex Endometrial Hyperplasia without Atypia
C35463|Simple Endometrial Hyperplasia
C6993|Complex Endometrial Hyperplasia without Atypia
C6992|Simple Endometrial Hyperplasia without Atypia
C34772|Lens Subluxation
C125484|Ectopia Lentis
C101191|Acquired Bilateral Cataracts
C101194|Congenital Bilateral Cataracts
C101191|Acquired Bilateral Cataracts
C101194|Congenital Bilateral Cataracts
C101192|Acquired Unilateral Cataract
C50614|Induced Cataract
C101195|Congenital Unilateral Cataract
C7848|Extraocular Retinoblastoma
C3989|Parathyroid Hyperplasia
C50504|Contact Lens Overwear Syndrome
C8495|Hereditary Retinoblastoma
C7846|Intraocular Retinoblastoma
C98879|Coloboma of the Iris
C103956|Coloboma of the Retina
C98814|Anophthalmos
C98989|Microphthalmos
C6102|Choroid Epithelioid Cell Melanoma
C35782|Choroid Mixed Cell Melanoma
C6865|Choroid Necrotic Melanoma
C6119|Ciliary Body Epithelioid Cell Melanoma
C35783|Ciliary Body Mixed Cell Melanoma
C6101|Intermediate Cell Type Iris Melanoma
C6117|Ciliary Body Spindle Cell Melanoma
C6098|Iris Spindle Cell Melanoma
C7288|Adult Type Ovarian Granulosa Cell Tumor
C39946|Adult Type Testicular Granulosa Cell Tumor
C39947|Juvenile Type Testicular Granulosa Cell Tumor
C7289|Juvenile Type Ovarian Granulosa Cell Tumor
C6356|Testicular Leydig Cell Tumor
C8403|Malignant Ovarian Granulosa Cell Tumor
C4214|Ovarian Hilus Cell Tumor
C39942|Malignant Testicular Leydig Cell Tumor
C39983|Ovarian Leydig Cell Tumor, Non-Hilar Type
C39984|Ovarian Leydig Cell Tumor, Not Otherwise Specified
C8403|Malignant Ovarian Granulosa Cell Tumor
C6102|Choroid Epithelioid Cell Melanoma
C4210|Poorly Differentiated Ovarian Sertoli-Leydig Cell Tumor
C35782|Choroid Mixed Cell Melanoma
C39981|Malignant Ovarian Steroid Cell Tumor
C6865|Choroid Necrotic Melanoma
C6101|Intermediate Cell Type Iris Melanoma
C6119|Ciliary Body Epithelioid Cell Melanoma
C6098|Iris Spindle Cell Melanoma
C6117|Ciliary Body Spindle Cell Melanoma
C35783|Ciliary Body Mixed Cell Melanoma
C123905|Childhood Thyroid Gland Medullary Carcinoma
C4193|Thyroid Gland Medullary Carcinoma with Amyloid Stroma
C46099|Hereditary Thyroid Gland Medullary Cancer
C9085|Stage II Thyroid Gland Follicular Cancer
C9048|Childhood Extraocular Retinoblastoma
C9121|Stage III Thyroid Gland Follicular Cancer
C9084|Stage I Thyroid Gland Follicular Cancer
C9086|Stage IV Thyroid Gland Follicular Cancer
C9122|Stage III Thyroid Gland Papillary Cancer
C7849|Recurrent Retinoblastoma
C126408|Cribriform-Morular Variant Thyroid Gland Papillary Carcinoma
C46092|Macrofollicular Variant Thyroid Gland Papillary Carcinoma
C126594|Follicular Variant Thyroid Gland Papillary Carcinoma
C9047|Childhood Intraocular Retinoblastoma
C6764|Gastric Small Cell Neuroendocrine Carcinoma
C96063|Intestinal Neuroendocrine Carcinoma
C126325|Gastroesophageal Junction Small Cell Neuroendocrine Carcinoma
C8562|Ocular Melanoma
C6360|Testicular Carcinoid Tumor
C6427|Ascending Colon Neuroendocrine Tumor G1
C5501|Cecum Neuroendocrine Tumor G1
C84933|Neurogenic Diabetes Insipidus
C5229|Ovarian Carcinoid Tumor
C9231|Merkel Cell Cancer
C5237|Ovarian Neuroendocrine Neoplasm
C126773|Uterine Corpus Carcinoid Tumor
C96925|Gallbladder Neuroendocrine Tumor G2
C96930|Gallbladder Tubular Carcinoid
C95404|Digestive System Neuroendocrine Tumor
C120375|Disorder of Androgen Synthesis
C120196|Disorder of AMH Receptor
C95871|Gastric Neuroendocrine Tumor
C26695|Anal Disorder
C3027|Esophageal Disorder
C3052|Digestive System Neoplasm
C64758|Maxillary Sinus Cancer pT3 TNM Finding v6 and v7
C64760|Maxillary Sinus Cancer pT4b TNM Finding v6
C65028|Maxillary Sinus Cancer pN2b TNM Finding v6 and v7
C64759|Maxillary Sinus Cancer pT4a TNM Finding v6
C65029|Maxillary Sinus Cancer pN2c TNM Finding v6 and v7
C65030|Maxillary Sinus Cancer pN3 TNM Finding v6 and v7
C60864|Thyroid Cancer pT3 TNM Finding v6 and v7
C60865|Thyroid Cancer pT4 TNM Finding v6
C60860|Thyroid Cancer pTX TNM Finding v6 and v7
C60875|Thyroid Cancer pN1b TNM Finding v6
C60872|Thyroid Cancer pNX TNM Finding v6 and v7
C64460|Nasopharyngeal Cancer pT2a TNM Finding v6
C64461|Nasopharyngeal Cancer pT2b TNM Finding v6
C64462|Nasopharyngeal Cancer pT3 TNM Finding v6
C64473|Nasopharyngeal Cancer pNX TNM Finding v6 and v7
C64477|Nasopharyngeal Cancer pN3 TNM Finding v6
C64451|Hypopharyngeal Cancer pT3 TNM Finding v6
C64453|Hypopharyngeal Cancer pT4b TNM Finding v6
C64452|Hypopharyngeal Cancer pT4a TNM Finding V6
C64586|Hypopharyngeal Cancer pN2b TNM Finding v6 and v7
C64587|Hypopharyngeal Cancer pN2c TNM Finding v6 and v7
C64588|Hypopharyngeal Cancer pN3 TNM Finding v6
C65054|Nasal Cavity and Ethmoid Sinus Cancer pT4a TNM Finding v6
C65053|Nasal Cavity and Ethmoid Sinus Cancer pT3 TNM Finding v6 and v7
C65055|Nasal Cavity and Ethmoid Sinus Cancer pT4b TNM Finding v6
C65065|Nasal Cavity and Ethmoid Sinus Cancer pN2b TNM Finding v6 and v7
C65066|Nasal Cavity and Ethmoid Sinus Cancer pN2c TNM Finding v6 and v7
C65067|Nasal Cavity and Ethmoid Sinus Cancer pN3 TNM Finding v6 and v7
C82436|Serum Immunoglobulin Free Light Chain Ratio Abnormal
C64611|Oropharyngeal Cancer pN2b TNM Finding v6 and v7
C64612|Oropharyngeal Cancer pN2c TNM Finding v6 and v7
C64613|Oropharyngeal Cancer pN3 TNM Finding v6
C64442|Oropharyngeal Cancer pT3 TNM Finding v6
C64443|Oropharyngeal Cancer pT4a TNM Finding v6
C64444|Oropharyngeal Cancer pT4b TNM Finding v6
C89865|Small Intestine Cancer pTX TNM Finding v7
C89867|Small Intestine Cancer pTis TNM Finding v7
C4741|Neoplasm by Morphology
C3263|Neoplasm by Site
C82435|Serum Immunoglobulin Free Light Chain Increased
C99531|Primary Cause of Death
C50643|Lumbar Puncture Headache
C7062|Neoplasm by Special Category
C116142|Secondary Cause of Death
C41356|Definite Adverse Event Attribution to Product or Procedure
C41359|Possible Adverse Event Attribution to Product or Procedure
C41357|Probable Adverse Event Relationship to Product or Procedure
C69197|Patient Allergic to Contrast Media
C75533|Absent Adverse Event
C41336|Non-serious Adverse Event
C41337|Life Threatening or Disabling Adverse Event
C48275|Death Related to Adverse Event
C75533|Absent Adverse Event
C48275|Death Related to Adverse Event
C84266|Life Threatening Adverse Event
C54736|Allergic Reaction and Hypersensitivity Adverse Event Including Drug Fever
C54737|Allergic Rhinitis Adverse Event Including Sneezing Nasal Stuffiness Postnasal Drip
C54738|Autoimmune Reaction Adverse Event
C54775|Other Cardiac Arrhythmia Adverse Event
C53812|Conduction Abnormality and Atrioventricular Heart Block Adverse Event
C54935|Palpitations Adverse Event
C55930|Bone Marrow Cellularity Adverse Event
C55990|Haptoglobin Adverse Event
C55931|CD4 Count Adverse Event
C132078|Positive Para-Aortic Lymph Node
C36290|Chemical Exposure
C8508|Positive Axillary Lymph Node
C132079|Positive Pelvic Lymph Node
C60675|Argentaffin Positive Neoplastic Cells Present
C70851|B44-Positive Neoplastic Cells Present
C71616|CD13-Positive Neoplastic Cells Present
C89048|Laryngeal Cancer TNM Finding v7
C88938|Lip and Oral Cavity Cancer TNM Finding v7
C89118|Major Salivary Gland Cancer TNM Finding v7
C128842|RB1 Positive
C34977|Reticuloendothelial Hyperplasia
C60312|Serum Prostate Specific Antigen Increased
C6992|Simple Endometrial Hyperplasia without Atypia
C53976|Juvenile Cataract
C27064|Radiation-Induced Cataract
C35012|Senile Cataract
C35068|Tetanic Cataract
C9048|Childhood Extraocular Retinoblastoma
C6032|Parathyroid Chief Cell Hyperplasia
C6033|Parathyroid Clear Cell Hyperplasia
C118864|Crystalline Lens Dislocation
C7849|Recurrent Retinoblastoma
C9047|Childhood Intraocular Retinoblastoma
C50519|Cyclitis
C101187|Bilateral Anophthalmos
C101189|Bilateral Microphthalmos
C101188|Unilateral Anophthalmos
C101190|Unilateral Microphthalmos
C6100|Intermediate Cell Type Choroid Melanoma
C6099|Choroid Spindle Cell Melanoma
C6118|Intermediate Cell Type Ciliary Body Melanoma
C6864|Ciliary Body Spindle Cell Type A Melanoma
C6863|Ciliary Body Spindle Cell Type B Melanoma
C6261|Ovarian Granulosa Cell Tumor
C39942|Malignant Testicular Leydig Cell Tumor
C40434|Juvenile Type Bilateral Ovarian Granulosa Cell Tumor
C6099|Choroid Spindle Cell Melanoma
C6357|Testicular Granulosa Cell Tumor
C6929|Malignant Ovarian Thecoma
C6100|Intermediate Cell Type Choroid Melanoma
C6118|Intermediate Cell Type Ciliary Body Melanoma
C39973|Poorly Differentiated Ovarian Sertoli-Leydig Cell Tumor, Variant with Heterologous Elements
C6864|Ciliary Body Spindle Cell Type A Melanoma
C6863|Ciliary Body Spindle Cell Type B Melanoma
C6135|Stage III Thyroid Gland Medullary Carcinoma
C46098|Sporadic Thyroid Gland Medullary Carcinoma
C7712|Intraocular Melanoma
C6134|Stage II Thyroid Gland Medullary Carcinoma
C42596|Sporadic Retinoblastoma
C65200|Thyroid Gland Follicular Carcinoma, Minimally Invasive
C4946|Thyroid Gland Oncocytic Follicular Carcinoma
C115037|Stage IVC Thyroid Gland Follicular Cancer
C115035|Stage IVA Thyroid Gland Follicular Cancer
C115036|Stage IVB Thyroid Gland Follicular Cancer
C7019|Trilateral Retinoblastoma
C37304|Multicentric Thyroid Gland Papillary Carcinoma
C87544|Stage II Differentiated Thyroid Gland Carcinoma
C66850|Encapsulated Follicular Variant Thyroid Gland Papillary Carcinoma
C126410|Nodular Fasciitis-like Stroma Variant Thyroid Gland Papillary Carcinoma
C7381|Nonencapsulated Follicular Variant Thyroid Gland Papillary Carcinoma
C66814|Undifferentiated Retinoblastoma
C96156|Colorectal Neuroendocrine Carcinoma
C7913|Ocular Melanoma with Extraocular Extension
C129736|Autosomal Dominant Neurohypophyseal Diabetes Insipidus
C7712|Intraocular Melanoma
C96064|Small Intestinal Neuroendocrine Carcinoma
C40013|Ovarian Insular Carcinoid Tumor
C40015|Ovarian Mucinous Carcinoid Tumor
C40014|Ovarian Trabecular Carcinoid Tumor
C115440|Recurrent Merkel Cell Cancer
C85887|Stage 0 Merkel Cell Carcinoma
C85897|Stage III Merkel Cell Cancer
C96786|Liver Neuroendocrine Neoplasm
C40440|Ovarian Small Cell Carcinoma, Pulmonary Type
C3379|Somatostatin-Producing Neuroendocrine Tumor
C35190|Endocrine Disorder Arising from Mental Factor
C95871|Gastric Neuroendocrine Tumor
C3050|Gastrin-Producing Neuroendocrine Tumor
C53655|Glucose Metabolism Disorder
C27443|Gastric Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor
C27444|Gastric Gastrin-Producing Neuroendocrine Tumor
C95880|Gastric Neuroendocrine Tumor G2
C2877|Anal Neoplasm
C3957|Anal Polyp
C53494|Non-Neoplastic Anal Disorder
C53497|Non-Neoplastic Esophageal Disorder
C3028|Esophageal Neoplasm
C2877|Anal Neoplasm
C4443|Ampulla of Vater Neoplasm
C4434|Appendix Neoplasm
C64755|Maxillary Sinus Cancer pTis TNM Finding v6 and v7
C64753|Maxillary Sinus Cancer pTX TNM Finding v6 and v7
C65031|Maxillary Sinus Cancer pNX TNM Finding v6 and v7
C60866|Thyroid Cancer pT4a TNM Finding v6
C60867|Thyroid Cancer pT4b TNM Finding v6
C64463|Nasopharyngeal Cancer pT4 TNM Finding v6
C64455|Nasopharyngeal Cancer pTX TNM Finding v6 and v7
C64457|Nasopharyngeal Cancer pTis TNM Finding v6 and v7
C64479|Nasopharyngeal Cancer pN3b TNM Finding v6
C64478|Nasopharyngeal Cancer pN3a TNM Finding v6 and v7
C64446|Hypopharyngeal Cancer pTX TNM Finding v6 and v7
C64448|Hypopharyngeal Cancer pTis TNM Finding v6 and v7
C65048|Nasal Cavity and Ethmoid Sinus Cancer pTX TNM Finding v6 and v7
C64582|Hypopharyngeal Cancer pNX TNM Finding v6 and v7
C65050|Nasal Cavity and Ethmoid Sinus Cancer pTis TNM Finding v6 and v7
C39588|Serum Soluble Fas Ligand Level Increased
C65068|Nasal Cavity and Ethmoid Sinus Cancer pNX TNM Finding v6 and v7
C64437|Oropharyngeal Cancer pTX TNM Finding v6 and v7
C64607|Oropharyngeal Cancer pNX TNM Finding v6 and v7
C64439|Oropharyngeal Cancer pTis TNM Finding v6 and v7
C132632|Head and Neck Cancer TNM Finding v8
C7069|Giant Cell Neoplasm
C3709|Epithelial Neoplasm
C3708|Germ Cell Tumor
C35813|Hematopoietic and Lymphoid System Neoplasm
C3077|Head and Neck Neoplasm
C3268|Nervous System Neoplasm
C43276|Serum Total Tryptase Levels Increased
C50788|Unexpected Postoperative Refraction
C3677|Benign Neoplasm
C6784|Cystic Neoplasm
C94621|Chemical Imbalance
C6283|Childhood Neoplasm
C41338|Mild Adverse Event
C41335|Serious Adverse Event
C41339|Moderate Adverse Event
C121972|Induction Death
C121972|Induction Death
C84263|Mild Adverse Event
C84264|Moderate Adverse Event
C54747|CTCAE Grade 2 Allergic Reaction and Hypersensitivity Including Drug Fever
C54742|CTCAE Grade 1 Allergic Reaction and Hypersensitivity Including Drug Fever
C54752|CTCAE Grade 3 Allergic Reaction and Hypersensitivity Including Drug Fever
C54748|CTCAE Grade 2 Allergic Rhinitis Including Sneezing Nasal Stuffiness Postnasal Drip
C54743|CTCAE Grade 1 Allergic Rhinitis Including Sneezing Nasal Stuffiness Postnasal Drip
C54744|CTCAE Grade 1 Autoimmune Reaction
C54749|CTCAE Grade 2 Autoimmune Reaction
C54753|CTCAE Grade 3 Autoimmune Reaction
C54786|CTCAE Grade 1 Other Cardiac Arrhythmia
C54817|CTCAE Grade 2 Other Cardiac Arrhythmia
C54849|CTCAE Grade 3 Other Cardiac Arrhythmia
C54770|AV Block First Degree Adverse Event
C54772|AV Block Second Degree Mobitz Type II Adverse Event
C54771|AV Block Second Degree Mobitz Type I Adverse Event
C54790|CTCAE Grade 1 Palpitations
C54821|CTCAE Grade 2 Palpitations
C55933|CTCAE Grade 1 Bone Marrow Cellularity
C55944|CTCAE Grade 2 Bone Marrow Cellularity
C55955|CTCAE Grade 3 Bone Marrow Cellularity
C55935|CTCAE Grade 1 Haptoglobin
C55957|CTCAE Grade 3 Haptoglobin
C55980|CTCAE Grade 5 Haptoglobin
C60298|CTCAE Grade 1 CD4 Count
C60299|CTCAE Grade 2 CD4 Count
C60300|CTCAE Grade 3 CD4 Count
C55816|Asbestos Exposure
C36251|Benzene Exposure
C8032|One or More Positive Axillary Nodes
C50690|Patient Chemical Contamination Due To Medical Device Failure Or Malfunction
C45381|CD15-Positive Neoplastic Cells Present
C40996|CD14-Positive Neoplastic Cells Present
C89064|Glottic Cancer TNM Finding v7
C70559|CD19-Positive Neoplastic Cells Present
C89077|Subglottic Cancer TNM Finding v7
C88956|Lip and Oral Cavity Cancer Clinical TNM Finding v7
C88939|Lip and Oral Cavity Cancer Pathologic TNM Finding v7
C89049|Supraglottic Cancer TNM Finding v7
C89119|Major Salivary Gland Cancer Pathologic TNM Finding v7
C89125|Major Salivary Gland Cancer Clinical TNM Finding v7
C131069|RET Fusion Positive
C27152|Sebaceous Hyperplasia
C131022|Thyroid-Binding Globulin Deficiency
C35855|Squamous Hyperplasia
C42596|Sporadic Retinoblastoma
C26875|Retinal Disorder
C35857|Stromal Hyperplasia
C7019|Trilateral Retinoblastoma
C84420|Diabetic Eye Disease
C66814|Undifferentiated Retinoblastoma
C34553|Dry Eye Syndrome
C45372|Eye Infection
C6861|Choroid Spindle Cell Type A Melanoma
C6862|Choroid Spindle Cell Type B Melanoma
C6861|Choroid Spindle Cell Type A Melanoma
C6862|Choroid Spindle Cell Type B Melanoma
C4862|Ovarian Sex Cord-Stromal Tumor
C6263|Malignant Ovarian Luteinized Thecoma
C39976|Sertoli Cell Tumor
C46103|Sporadic Thyroid Gland Micromedullary Carcinoma
C35780|Epithelioid Cell Uveal Melanoma
C6136|Stage IV Thyroid Gland Medullary Carcinoma
C9090|Medium/Large Size Posterior Uveal Melanoma
C6133|Stage I Thyroid Gland Medullary Carcinoma
C7989|Intermediate Cell Type Uveal Melanoma
C8714|Unilateral Retinoblastoma
C101542|Stage II Differentiated Thyroid Gland Carcinoma 45 Years and Older
C87546|Stage IVA Differentiated Thyroid Gland Carcinoma
C7427|Thyroid Gland Diffuse Sclerosing Papillary Carcinoma
C101541|Stage II Differentiated Thyroid Gland Carcinoma Under 45 Years
C9082|Stage II Thyroid Gland Papillary Cancer
C46004|Thyroid Gland Papillary Microcarcinoma
C46093|Oncocytic Variant Thyroid Gland Papillary Carcinoma
C35780|Epithelioid Cell Uveal Melanoma
C7989|Intermediate Cell Type Uveal Melanoma
C43587|Colorectal Small Cell Neuroendocrine Carcinoma
C9090|Medium/Large Size Posterior Uveal Melanoma
C26785|Goiter
C27449|Small Intestinal Small Cell Neuroendocrine Carcinoma
C4292|Strumal Carcinoid
C85900|Stage IV Merkel Cell Cancer
C85898|Stage IIIA Merkel Cell Carcinoma
C85893|Stage II Merkel Cell Cancer
C85899|Stage IIIB Merkel Cell Carcinoma
C5783|Liver Neuroendocrine Tumor
C3308|Paraganglioma
C27453|Small Intestinal Somatostatin-Producing Neuroendocrine Tumor
C27228|Gonadal Agenesis
C27443|Gastric Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor
C27444|Gastric Gastrin-Producing Neuroendocrine Tumor
C95880|Gastric Neuroendocrine Tumor G2
C27444|Gastric Gastrin-Producing Neuroendocrine Tumor
C34646|Glucose Intolerance
C27450|Small Intestinal Gastrin-Producing Neuroendocrine Tumor
C122685|Prediabetes
C5695|Intestinal Neuroendocrine Neoplasm
C7379|Malignant Anal Neoplasm
C4054|Anal Condyloma Acuminatum
C4611|Benign Anal Neoplasm
C4435|Anal Fibroepithelial Polyp
C96554|Anal Canal Squamous Papilloma
C96693|Anal Inflammatory Cloacogenic Polyp
C78169|Anal Infection
C4435|Anal Fibroepithelial Polyp
C96693|Anal Inflammatory Cloacogenic Polyp
C98924|Esophageal Duplication
C87072|Esophageal Atresia
C78277|Esophageal Infection
C5700|Esophageal Granular Cell Tumor
C4611|Benign Anal Neoplasm
C4054|Anal Condyloma Acuminatum
C3598|Benign Esophageal Neoplasm
C7379|Malignant Anal Neoplasm
C3536|Malignant Ampulla of Vater Neoplasm
C7478|Malignant Esophageal Neoplasm
C4773|Benign Appendix Neoplasm
C9333|Malignant Appendix Neoplasm
C43550|Appendix Adenoma
C60868|Thyroid Cancer pT4a Anaplastic Carcinoma TNM Finding v6
C60869|Thyroid Cancer pT4b Anaplastic Carcinoma TNM Finding v6
C131023|Thyroid-Binding Globulin Excess
C133194|Cutaneous Squamous Cell Carcinoma of the Head and Neck TNM Finding v8
C132656|Cervical Lymph Nodes and Unknown Primary Tumors TNM Finding v8
C132633|Head and Neck Cancer Clinical TNM Finding v8
C4090|Malignant Giant Cell Neoplasm
C3784|Basal Cell Neoplasm
C114777|Adult Germ Cell Tumor
C4092|Benign Epithelial Neoplasm
C2855|Adenoma
C6449|Benign Germ Cell Tumor
C35370|Bone Marrow Neoplasm
C7928|Childhood Germ Cell Tumor
C35497|Lymph Node Neoplasm
C27134|Hematopoietic and Lymphoid Cell Neoplasm
C54661|Head and Neck Nevus
C4789|Benign Nervous System Neoplasm
C3000|Ear Neoplasm
C5327|Head and Neck Paraganglioma
C113751|Transaminitis
C41332|Adverse Reaction
C9293|Central Nervous System Neoplasm
C65162|Tumorlet
C2963|Cranial Nerve Neoplasm
C36264|Metastatic Benign Neoplasm
C2971|Cystadenocarcinoma
C4179|Papillary Cystic Neoplasm
C2972|Cystadenoma
C84638|Ciliary Motility Defect
C7928|Childhood Germ Cell Tumor
C41340|Severe Adverse Event
C84265|Severe Adverse Event
C9431|Childhood Hematopoietic Neoplasm
C5132|Childhood Central Nervous System Neoplasm
C54757|CTCAE Grade 4 Allergic Reaction and Hypersensitivity Including Drug Fever
C54761|CTCAE Grade 5 Allergic Reaction and Hypersensitivity Including Drug Fever
C54758|CTCAE Grade 4 Autoimmune Reaction
C54762|CTCAE Grade 5 Autoimmune Reaction
C54739|Other Allergy and Immunology Adverse Event
C54880|CTCAE Grade 4 Other Cardiac Arrhythmia
C54911|CTCAE Grade 5 Other Cardiac Arrhythmia
C54781|CTCAE Grade 1 AV Block First Degree
C54812|CTCAE Grade 2 AV Block First Degree
C54844|CTCAE Grade 3 AV Block First Degree
C54783|CTCAE Grade 1 AV Block Second Degree Mobitz Type II
C54814|CTCAE Grade 2 AV Block Second Degree Mobitz Type II
C54846|CTCAE Grade 3 AV Block Second Degree Mobitz Type II
C54782|CTCAE Grade 1 AV Block Second Degree Mobitz Type I
C54813|CTCAE Grade 2 AV Block Second Degree Mobitz Type I
C54845|CTCAE Grade 3 AV Block Second Degree Mobitz Type I
C55978|CTCAE Grade 5 Bone Marrow Cellularity
C60301|CTCAE Grade 4 CD4 Count
C54937|Prolonged QTc Interval Adverse Event
C55991|Hemoglobin Adverse Event
C60302|CTCAE Grade 5 CD4 Count
C50753|Staining
C131071|ROS1 Fusion Positive
C43267|CD1a-Positive Neoplastic Cells Present
C36187|Thorotrast Exposure
C70560|CD20-Positive Neoplastic Cells Present
C43269|CD21-Positive Neoplastic Cells Present
C89073|Glottic Cancer Clinical TNM Finding v7
C89065|Glottic Cancer Pathologic TNM Finding v7
C89087|Subglottic Cancer Clinical TNM Finding v7
C89078|Subglottic Cancer Pathologic TNM Finding v7
C88957|Lip and Oral Cavity Cancer Clinical Distant Metastasis TNM Finding v7
C88953|Lip and Oral Cavity Cancer Pathologic Distant Metastasis TNM Finding v7
C88949|Lip and Oral Cavity Cancer Pathologic Regional Lymph Nodes TNM Finding v7
C88940|Lip and Oral Cavity Cancer Pathologic Primary Tumor TNM Finding v7
C89060|Supraglottic Cancer Clinical TNM Finding v7
C89051|Supraglottic Cancer Pathologic TNM Finding v7
C89124|Major Salivary Gland Cancer Pathologic Distant Metastasis TNM Finding v7
C89120|Major Salivary Gland Cancer Pathologic Primary Tumor TNM Finding v7
C89123|Major Salivary Gland Cancer Pathologic Regional Lymph Nodes TNM Finding v7
C89126|Major Salivary Gland Cancer Clinical Distant Metastasis TNM Finding v7
C128837|RUNX1/RUNX1T1 Fusion Positive
C27952|Senile Sebaceous Hyperplasia
C35125|Viremia
C40117|Tubal Epithelial Hyperplasia
C8714|Unilateral Retinoblastoma
C27610|Non-Neoplastic Retinal Disorder
C104373|Pseudoangiomatous Stromal Hyperplasia
C118860|Fat Adherence Syndrome
C50593|Hypopyon
C26782|Glaucoma
C50617|Intraocular Infection
C34862|Ocular Onchocerciasis
C7287|Ovarian Granulosa-Stromal Cell Tumor
C6803|Benign Ovarian Sex Cord-Stromal Tumor
C39966|Ovarian Sertoli-Stromal Cell Tumor
C67012|Benign Sertoli Cell Tumor
C6358|Testicular Sex Cord-Stromal Tumor
C67006|Malignant Sertoli Cell Tumor
C35781|Mixed Cell Uveal Melanoma
C87549|Stage IVA Thyroid Gland Medullary Carcinoma
C4672|Testicular Sertoli Cell Tumor
C87550|Stage IVB Thyroid Gland Medullary Carcinoma
C87551|Stage IVC Thyroid Gland Medullary Carcinoma
C7914|Recurrent Uveal Melanoma
C7990|Necrotic Uveal Melanoma
C115038|Stage IVA Thyroid Gland Papillary Cancer
C46095|Solid Variant Thyroid Gland Papillary Carcinoma
C35781|Mixed Cell Uveal Melanoma
C87547|Stage IVB Differentiated Thyroid Gland Carcinoma
C9083|Stage IV Thyroid Gland Papillary Cancer
C126409|Warthin Tumor-Like Variant Thyroid Gland Papillary Carcinoma
C7990|Necrotic Uveal Melanoma
C7914|Recurrent Uveal Melanoma
C6761|Colon Small Cell Neuroendocrine Carcinoma
C60639|Rectal Small Cell Neuroendocrine Carcinoma
C131436|Diffuse Goiter
C35023|Endemic Goiter
C3071|Graves Disease
C5545|Prostate Neuroendocrine Neoplasm
C85889|Stage I Merkel Cell Cancer
C85894|Stage IIA Merkel Cell Carcinoma
C85895|Stage IIB Merkel Cell Carcinoma
C85896|Stage IIC Merkel Cell Carcinoma
C128247|Vulvar Merkel Cell Carcinoma
C88027|Stage 0 Digestive System Neuroendocrine Neoplasm
C48314|Benign Paraganglioma
C4216|Sympathetic Paraganglioma
C3309|Extra-Adrenal Paraganglioma
C5787|Jejunal Somatostatin-Producing Neuroendocrine Tumor
C27407|Duodenal Somatostatin-Producing Neuroendocrine Tumor
C3123|Hyperthyroidism
C5731|Duodenal Gastrin-Producing Neuroendocrine Tumor
C9227|Hypogonadism
C96166|Digestive System Neuroendocrine Tumor G2
C96152|Colorectal Neuroendocrine Neoplasm
C96062|Intestinal Neuroendocrine Tumor
C5803|Small Intestinal Neuroendocrine Neoplasm
